"","Year","Month","Sex","n","freq","cumul.sum","allabel","frequency","SE","CI"
"1",2017,"April","female",306,0.107784431137725,0.107784431137725,"2839",0.108,0.005820097,0.01140739
"2",2017,"January","female",310,0.097331240188383,0.097331240188383,"3185",0.097,0.005252132,0.010294178
"3",2017,"May","female",388,0.105063633901977,0.105063633901977,"3693",0.105,0.00504583,0.009889827
"4",2018,"April","female",408,0.111995608015372,0.111995608015372,"3643",0.112,0.005224906,0.010240816
"5",2018,"January","female",385,0.108176454060129,0.108176454060129,"3559",0.108,0.005206452,0.010204645
"6",2018,"May","female",421,0.10238326848249,0.10238326848249,"4112",0.102,0.00472752,0.00926594
"7",2019,"April","female",487,0.113493358191564,0.113493358191564,"4291",0.113,0.004842247,0.009490805
"8",2019,"January","female",453,0.113420130195293,0.113420130195293,"3994",0.113,0.005017645,0.009834585
"9",2019,"May","female",521,0.108496459808413,0.108496459808413,"4802",0.108,0.004488056,0.008796589
"10",2020,"April","female",562,0.115187538430006,0.115187538430006,"4879",0.115,0.004570492,0.008958164
"11",2020,"January","female",484,0.117276472013569,0.117276472013569,"4127",0.117,0.005008418,0.009816499
"12",2020,"May","female",550,0.113308611454471,0.113308611454471,"4854",0.113,0.004549543,0.008917105
