Year,Name,Sex,Accuracy,Samples,Topic,Country,Continent,Column1,Column2
,,,,,,,,,
2018,Wanderson,male,99,1916,Microbiology,Argentina,South America,,
2019,Pamela,female,98,26501,Microbiology,Argentina,South America,,
2019,Melisa,female,98,10404,Microbiology,Argentina,South America,,
2020,Guillermo,male,99,14216,Microbiology,Argentina,South America,,
2020,María,female,98,11821,Microbiology,Argentina,South America,,
2017,Verlaine,female,64,85,Microbiology,Australia,Oceania,,
2017,Taylor,female,55,14147,Microbiology,Australia,Oceania,,
2018,Katherine,female,99,15804,Microbiology,Australia,Oceania,,
2018,Sam,male,85,93540,Microbiology,Australia,Oceania,,
2018,Georgia,female,94,5580,Microbiology,Australia,Oceania,,
2018,Azadeh,female,98,1082,Microbiology,Australia,Oceania,,
2018,Marwa,female,96,7397,Microbiology,Australia,Oceania,,
2018,Phurpa,male,74,19,Microbiology,Australia,Oceania,,
2019,Mohammad,male,99,47588,Microbiology,Australia,Oceania,,
2019,Mitchell,male,97,4895,Microbiology,Australia,Oceania,,
2019,Andrew,male,99,82448,Microbiology,Australia,Oceania,,
2019,Benjamin,male,99,50718,Microbiology,Australia,Oceania,,
2019,Jean,male,89,84089,Microbiology,Australia,Oceania,,
2019,Paul,male,99,140849,Microbiology,Australia,Oceania,,
2019,Jessica,female,98,115595,Microbiology,Australia,Oceania,,
2019,Carola,female,98,4317,Microbiology,Australia,Oceania,,
2019,Benjamin,male,99,50718,Microbiology,Australia,Oceania,,
2019,Eike,male,87,519,Microbiology,Australia,Oceania,,
2019,Ammar,male,98,7880,Microbiology,Australia,Oceania,,
2020,Ayda,female,95,828,Microbiology,Australia,Oceania,,
2020,Mahjabeen,female,100,46,Microbiology,Australia,Oceania,,
2020,Stephan,male,99,19941,Microbiology,Australia,Oceania,,
2020,Yi,male,61,1397,Microbiology,Australia,Oceania,,
2020,Ashleigh,female,96,2774,Microbiology,Australia,Oceania,,
2020,D.,male,73,1059,Microbiology,Australia,Oceania,,
2020,Christopher,male,99,55041,Microbiology,Australia,Oceania,,
2020,Brian,male,99,69588,Microbiology,Australia,Oceania,,
2020,John,male,99,219085,Microbiology,Australia,Oceania,,
2020,Roshali,female,75,4,Microbiology,Australia,Oceania,,
2020,Di,male,54,3384,Microbiology,Australia,Oceania,,
2020,Li-Jin,male,60,8904,Microbiology,Australia ,Oceania,,
2019,Simon,male,98,57458,Microbiology,Austria,Europe,,
2020,Sabrina,female,98,60955,Microbiology,Austria,Europe,,
2020,Moutoshi,female,75,4,Microbiology,Bangladesh,Asia,,
2017,Marta,female,98,84333,Microbiology,Belgium,Europe,,
2017,Elvis,male,98,12866,Microbiology,Belgium,Europe,,
2018,Kamela,female,91,70,Microbiology,Belgium,Europe,,
2019,Peter,male,99,146529,Microbiology,Belgium,Europe,,
2019,Kristof,male,98,2213,Microbiology,Belgium,Europe,,
2019,Peter,male,99,146529,Microbiology,Belgium,Europe,,
2019,Loïc,male,99,3211,Microbiology,Belgium,Europe,,
2020,Bert,male,98,7084,Microbiology,Belgium,Europe,,
2020,François,male,99,16142,Microbiology,Belgium,Europe,,
2020,Jérôme,male,99,5714,Microbiology,Belgium,Europe,,
2017,Priscila,female,98,9591,Microbiology,Brazil,South America,,
2018,Ancelmo,male,97,69,Microbiology,Brazil,South America,,
2018,Rosângela,female,98,542,Microbiology,Brazil,South America,,
2018,Fernando,male,99,77505,Microbiology,Brazil,South America,,
2018,Gabriela,female,98,35737,Microbiology,Brazil,South America,,
2018,Patrick,male,99,118290,Microbiology,Brazil,South America,,
2018,Daniel,male,99,257742,Microbiology,Brazil,South America,,
2018,Hugo,male,99,35618,Microbiology,Brazil,South America,,
2018,Ana,female,97,141747,Microbiology,Brazil,South America,,
2019,Antonio,male,99,180825,Microbiology,Brazil,South America,,
2019,Lucas,male,99,50557,Microbiology,Brazil,South America,,
2019,William,male,99,67797,Microbiology,Brazil,South America,,
2019,Maira,female,99,5414,Microbiology,Brazil,South America,,
2020,Juliana,female,98,22243,Microbiology,Brazil,South America,,
2020,Glauber,male,99,587,Microbiology,Brazil,South America,,
2020,Lilian,female,90,19270,Microbiology,Brazil,South America,,
2020,Júlia,female,98,2533,Microbiology,Brazil,South America,,
2020,Daniel,male,99,257742,Microbiology,Brazil,South America,,
2020,Carlos,male,99,174998,Microbiology,Brazil,South America,,
2020,Larissa,female,99,21495,Microbiology,Brazil,South America,,
2018,Shawn,male,93,15227,Microbiology,Canada,North America,,
2018,Tarun,male,100,5912,Microbiology,Canada,North America,,
2018,Patricia,female,98,88761,Microbiology,Canada,North America,,
2018,David,male,99,381770,Microbiology,Canada,North America,,
2018,Sara,female,98,153041,Microbiology,Canada,North America,,
2018,Zhenlong,male,100,5,Microbiology,Canada,North America,,
2019,Florence,female,97,19716,Microbiology,Canada,North America,,
2019,Tam,male,60,3935,Microbiology,Canada,North America,,
2019,Steven,male,99,59951,Microbiology,Canada,North America,,
2019,Anaïs,female,95,2769,Microbiology,Canada,North America,,
2020,O.,male,77,177,Microbiology,Canada,North America,,
2020,Polina,female,97,2522,Microbiology,Canada,North America,,
2020,V.,male,67,354,Microbiology,Canada,North America,,
2020,Pashupati,male,98,63,Microbiology,Canada,North America,,
2020,Jacob,male,99,25605,Microbiology,Canada,North America,,
2020,Wen,female,56,1985,Microbiology,Canada,North America,,
2020,Michael,male,99,211741,Microbiology,Canada,North America,,
2020,Joel,male,99,40697,Microbiology,Canada,North America,,
2020,Daniel,male,99,257742,Microbiology,Canada (UBC Microbiology!!!!),North America,,
2018,Hailey,female,97,2112,Microbiology,Canada (UBC!!!),North America,,
2019,Hailey,female,97,2112,Microbiology,Canada (UBC!!!),North America,,
2020,Mehrbod,male,100,25,Microbiology,Canada (UBC!!!),North America,,
2017,Linlin,female,72,307,Microbiology,China,Asia (China),,
2018,Muhammad,male,99,59995,Microbiology,China,Asia (China),,
2018,Yuqin,female,67,21,Microbiology,China,Asia (China),,
2018,Ruoquing,female,100,777,Microbiology,China,Asia (China),,
2018,Zhiwei,male,90,119,Microbiology,China,Asia (China),,
2018,Yang,male,67,4256,Microbiology,China,Asia (China),,
2018,Yiyi,female,76,454,Microbiology,China,Asia (China),,
2018,Lingying,female,67,3,Microbiology,China,Asia (China),,
2018,Chang,male,72,2129,Microbiology,China,Asia (China),,
2018,Jing,female,75,2534,Microbiology,China,Asia (China),,
2018,Wei,male,73,4003,Microbiology,China,Asia (China),,
2018,Jianhao,male,100,15,Microbiology,China,Asia (China),,
2018,Yunting,female,84,19,Microbiology,China,Asia (China),,
2018,Pengcheng,male,100,35,Microbiology,China,Asia (China),,
2018,Susanna,female,99,8003,Microbiology,China,Asia (China),,
2018,Xiaohui,male,54,153,Microbiology,China,Asia (China),,
2018,Dan,male,97,61524,Microbiology,China,Asia (China),,
