Name,Sex,Accuracy,Samples,Topic,Year,Month,Covid,Server
S.,male,64,1577,Mathematics,2018,April,,Arxiv
Jethro,male,100,525,Mathematics,2018,April,,Arxiv
Carolyn,female,99,7827,Mathematics,2018,April,,Arxiv
Quinn,male,69,1446,Mathematics,2018,April,,Arxiv
Fang,female,68,1434,Mathematics,2018,April,,Arxiv
Lasha,male,93,521,Mathematics,2018,April,,Arxiv
Hanchen,male,86,14,Mathematics,2018,April,,Arxiv
Mehdi,male,98,39434,Mathematics,2018,April,,Arxiv
Julio,male,96,31126,Mathematics,2018,April,,Arxiv
Daewoong,male,100,40,Mathematics,2018,April,,Arxiv
Nicolás,male,100,2230,Mathematics,2018,April,,Arxiv
Marshall,male,98,2759,Mathematics,2018,April,,Arxiv
Melanie,female,98,35986,Mathematics,2018,April,,Arxiv
Steven,male,99,59951,Mathematics,2018,April,,Arxiv
Ole,male,94,2972,Mathematics,2018,April,,Arxiv
Shiwu,male,100,3,Mathematics,2018,April,,Arxiv
Takashi,male,99,1807,Mathematics,2018,April,,Arxiv
Kyudong,male,100,9,Mathematics,2018,April,,Arxiv
,,,,Mathematics,2018,April,,Arxiv
David,male,99,381770,Mathematics,2018,April,,Arxiv
Aslak,male,98,63,Mathematics,2018,April,,Arxiv
Dongmian,female,75,4,Mathematics,2018,April,,Arxiv
Zhiguo,male,100,26,Mathematics,2018,April,,Arxiv
Navid,male,98,2658,Mathematics,2018,April,,Arxiv
Yiannis,male,99,1097,Mathematics,2018,April,,Arxiv
Yair,male,100,3538,Mathematics,2018,April,,Arxiv
Alexander,male,99,56237,Mathematics,2018,April,,Arxiv
Ana,female,97,141747,Mathematics,2018,April,,Arxiv
Md,male,97,11102,Mathematics,2018,April,,Arxiv
Alexander,male,99,56237,Mathematics,2018,April,,Arxiv
Massimo,male,99,41321,Mathematics,2018,April,,Arxiv
Coralia,female,98,118,Mathematics,2018,April,,Arxiv
J.,male,82,2236,Mathematics,2018,April,,Arxiv
Dawei,male,95,164,Mathematics,2018,April,,Arxiv
Tomoki,male,99,233,Mathematics,2018,April,,Arxiv
Melody,female,95,6248,Mathematics,2018,April,,Arxiv
Chuan,male,81,372,Mathematics,2018,April,,Arxiv
Olga,female,98,42388,Mathematics,2018,April,,Arxiv
N.,male,59,555,Mathematics,2018,April,,Arxiv
Paul,male,99,140849,Mathematics,2018,April,,Arxiv
Eleftherios,male,100,88,Mathematics,2018,April,,Arxiv
Alfred,male,98,12096,Mathematics,2018,April,,Arxiv
Nathan,male,99,29365,Mathematics,2018,April,,Arxiv
Peter,male,99,146529,Mathematics,2018,April,,Arxiv
Shmuel,male,98,254,Mathematics,2018,April,,Arxiv
Krzysztof,male,100,28969,Mathematics,2018,April,,Arxiv
Matthias,male,100,17148,Mathematics,2018,April,,Arxiv
Ali,male,94,240857,Mathematics,2018,April,,Arxiv
Wei,male,73,4003,Mathematics,2018,April,,Arxiv
Vitor,male,99,15338,Mathematics,2018,April,,Arxiv
A.,male,71,2092,Mathematics,2018,April,,Arxiv
Alejandro,male,99,45618,Mathematics,2018,April,,Arxiv
Xinwei,male,66,47,Mathematics,2018,April,,Arxiv
Runlin,female,75,4,Mathematics,2018,April,,Arxiv
Taylor,female,55,14147,Mathematics,2018,April,,Arxiv
Vladimir,male,99,21639,Mathematics,2018,April,,Arxiv
Yanyan,female,71,345,Mathematics,2018,April,,Arxiv
Ruigang,male,75,4,Mathematics,2018,April,,Arxiv
Alastair,male,99,1005,Mathematics,2018,April,,Arxiv
Luiz,male,99,11073,Mathematics,2018,April,,Arxiv
Christian,male,100,48300,Mathematics,2018,April,,Arxiv
Elizaveta,female,98,712,Mathematics,2018,April,,Arxiv
Takefumi,male,100,29,Mathematics,2018,April,,Arxiv
Giuseppe,male,99,72416,Mathematics,2018,April,,Arxiv
Tofar,male,75,4,Mathematics,2018,April,,Arxiv
Olga,female,98,42388,Mathematics,2018,April,,Arxiv
Cherng-Tiao,male,94,70,Mathematics,2018,April,,Arxiv
H.,male,73,623,Mathematics,2018,April,,Arxiv
Bernardo,male,99,8270,Mathematics,2018,April,,Arxiv
Ehud,male,100,93,Mathematics,2018,April,,Arxiv
Nina,female,98,42386,Mathematics,2018,April,,Arxiv
Yong-Xin,male,74,3921,Mathematics,2018,April,,Arxiv
Cao,male,69,1046,Mathematics,2018,April,,Arxiv
Yuriy,male,100,2292,Mathematics,2018,April,,Arxiv
Fengpeng,male,75,4,Mathematics,2018,April,,Arxiv
Saak,male,80,10,Mathematics,2018,April,,Arxiv
Hoda,female,92,2334,Mathematics,2018,April,,Arxiv
Muhammad,male,99,59995,Mathematics,2018,April,,Arxiv
E.,male,64,609,Mathematics,2018,April,,Arxiv
Sylwia,female,98,16008,Mathematics,2018,April,,Arxiv
Oliver,male,98,22853,Mathematics,2018,April,,Arxiv
Vladimir,male,99,21639,Mathematics,2018,April,,Arxiv
Noam,male,90,772,Mathematics,2018,April,,Arxiv
Simon,male,98,57458,Mathematics,2018,April,,Arxiv
Yuan,male,58,1657,Mathematics,2018,April,,Arxiv
Alexander,male,99,56237,Mathematics,2018,April,,Arxiv
Trubee,female,75,4,Mathematics,2018,April,,Arxiv
Le,male,68,8970,Mathematics,2018,April,,Arxiv
Claudia,female,98,72003,Mathematics,2018,April,,Arxiv
Joseph,male,99,63161,Mathematics,2018,April,,Arxiv
Yi-Sheng,male,100,6,Mathematics,2018,April,,Arxiv
Ruslan,male,99,7194,Mathematics,2018,April,,Arxiv
Anatoli,male,95,458,Mathematics,2018,April,,Arxiv
Hamed,male,98,10958,Mathematics,2018,April,,Arxiv
Osamu,male,99,407,Mathematics,2018,April,,Arxiv
Farid,male,98,19640,Mathematics,2018,April,,Arxiv
Keiji,male,99,237,Mathematics,2018,April,,Arxiv
Tao,male,87,1999,Mathematics,2018,April,,Arxiv
Xi,male,50,483,Mathematics,2018,April,,Arxiv
Jack,male,97,59917,Mathematics,2018,April,,Arxiv
Yi,male,61,1397,Mathematics,2018,April,,Arxiv
Johannes,male,99,7870,Mathematics,2018,April,,Arxiv
Héctor,male,100,2617,Mathematics,2018,April,,Arxiv
Jae-Mo,male,79,9700,Mathematics,2018,April,,Arxiv
Carlos,male,99,174998,Mathematics,2018,April,,Arxiv
Takahito,male,100,77,Mathematics,2018,April,,Arxiv
Jan,male,92,104026,Mathematics,2018,April,,Arxiv
Luiz,male,99,11073,Mathematics,2018,April,,Arxiv
Yuanze,male,75,4,Mathematics,2018,April,,Arxiv
,,,,Mathematics,2018,April,,Arxiv
Daisuke,male,99,1432,Mathematics,2018,April,,Arxiv
James,male,99,131879,Mathematics,2018,April,,Arxiv
Pham,male,62,2611,Mathematics,2018,April,,Arxiv
Chan-Ho,male,100,9,Mathematics,2018,April,,Arxiv
Zhanzhan,female,75,4,Mathematics,2018,April,,Arxiv
Claude,male,89,25621,Mathematics,2018,April,,Arxiv
Velleda,female,100,3,Mathematics,2018,April,,Arxiv
Andrej,male,99,6055,Mathematics,2018,April,,Arxiv
Dominik,male,98,21763,Mathematics,2018,April,,Arxiv
Guglielmo,male,99,1489,Mathematics,2018,April,,Arxiv
Federico,male,99,28505,Mathematics,2018,April,,Arxiv
Otis,male,99,3138,Mathematics,2018,April,,Arxiv
Frédéric,male,98,11476,Mathematics,2018,April,,Arxiv
Marco,male,99,133237,Mathematics,2018,April,,Arxiv
Qianjun,male,83,6,Mathematics,2018,April,,Arxiv
Ekaterina,female,98,5828,Mathematics,2018,April,,Arxiv
Xueyuan,male,57,7,Mathematics,2018,April,,Arxiv
Qianjun,male,83,6,Mathematics,2018,April,,Arxiv
Eslam,male,97,4385,Mathematics,2018,April,,Arxiv
Tetiana,female,98,295,Mathematics,2018,April,,Arxiv
Ricardo,male,99,70541,Mathematics,2018,April,,Arxiv
Matthew,male,100,51412,Mathematics,2018,April,,Arxiv
Fei,male,62,1203,Mathematics,2018,April,,Arxiv
Alonso,male,99,5317,Mathematics,2018,April,,Arxiv
Ping,male,53,1562,Mathematics,2018,April,,Arxiv
Leszek,male,99,4437,Mathematics,2018,April,,Arxiv
Yong-Cheol,male,87,2368,Mathematics,2018,April,,Arxiv
Pudji,male,73,52,Mathematics,2018,April,,Arxiv
Angel,male,100,27062,Mathematics,2018,April,,Arxiv
Romeo,male,99,16671,Mathematics,2018,April,,Arxiv
Liliana,female,99,26940,Mathematics,2018,April,,Arxiv
Peter,male,99,146529,Mathematics,2018,April,,Arxiv
Josselin,male,83,727,Mathematics,2018,April,,Arxiv
Giao,male,54,136,Mathematics,2018,April,,Arxiv
Alfredo,male,99,21417,Mathematics,2018,April,,Arxiv
M.,male,73,3216,Mathematics,2018,April,,Arxiv
Lilian,female,90,19270,Mathematics,2018,April,,Arxiv
Debapratim,male,100,17,Mathematics,2018,April,,Arxiv
Christopher,male,99,55041,Mathematics,2018,April,,Arxiv
Musa,male,95,17784,Mathematics,2018,April,,Arxiv
Martins,male,91,3671,Mathematics,2018,April,,Arxiv
Bing,male,63,1057,Mathematics,2018,April,,Arxiv
Andre,male,97,49457,Mathematics,2018,April,,Arxiv
Álvaro,male,99,3184,Mathematics,2018,April,,Arxiv
Ting,female,68,1693,Mathematics,2018,April,,Arxiv
Justin,male,98,43826,Mathematics,2018,April,,Arxiv
Jan,male,92,104026,Mathematics,2018,April,,Arxiv
Peyman,male,98,1812,Mathematics,2018,April,,Arxiv
Samuel,male,99,59149,Mathematics,2018,April,,Arxiv
Myna,female,92,110,Mathematics,2018,April,,Arxiv
Andzhey,male,100,4,Mathematics,2018,April,,Arxiv
Mohamad,male,98,16435,Mathematics,2018,April,,Arxiv
Moritz,male,99,1782,Mathematics,2018,April,,Arxiv
Saugata,male,96,128,Mathematics,2018,April,,Arxiv
Sarra,female,97,2224,Mathematics,2018,April,,Arxiv
Christopher,male,99,55041,Mathematics,2018,April,,Arxiv
Nick,male,98,55264,Mathematics,2018,April,,Arxiv
Peter,male,99,146529,Mathematics,2018,April,,Arxiv
Rafael,male,99,52197,Mathematics,2018,April,,Arxiv
Jared,male,99,9279,Mathematics,2018,April,,Arxiv
Pierluigi,male,99,2923,Mathematics,2018,April,,Arxiv
Dionysios,male,99,85,Mathematics,2018,April,,Arxiv
Nicholas,male,100,21206,Mathematics,2018,April,,Arxiv
Federico,male,99,28505,Mathematics,2018,April,,Arxiv
Serafin,male,96,564,Mathematics,2018,April,,Arxiv
Adel,male,95,22383,Mathematics,2018,April,,Arxiv
F.,male,77,512,Mathematics,2018,April,,Arxiv
Thomas,male,99,129177,Mathematics,2018,April,,Arxiv
Navid,male,98,2658,Mathematics,2018,April,,Arxiv
Jinwon,male,95,66,Mathematics,2018,April,,Arxiv
Samuel,male,99,59149,Mathematics,2018,April,,Arxiv
Long,male,100,89,Mathematics,2018,April,,Arxiv
Adrian,male,98,56140,Mathematics,2018,April,,Arxiv
Benjamín,male,100,392,Mathematics,2018,April,,Arxiv
Siham,female,97,7234,Mathematics,2018,April,,Arxiv
Alexander,male,99,56237,Mathematics,2018,April,,Arxiv
John,male,99,219085,Mathematics,2018,April,,Arxiv
Ho,male,76,1838,Mathematics,2018,April,,Arxiv
Gunter,male,97,847,Mathematics,2018,April,,Arxiv
Diego,male,99,67382,Mathematics,2018,April,,Arxiv
Kenta,male,99,798,Mathematics,2018,April,,Arxiv
Alev,female,95,4296,Mathematics,2018,April,,Arxiv
Alexandru,male,99,5316,Mathematics,2018,April,,Arxiv
Dong,male,87,2212,Mathematics,2018,April,,Arxiv
R.,male,78,1085,Mathematics,2018,April,,Arxiv
Richard,male,99,97659,Mathematics,2018,April,,Arxiv
Lev,male,97,888,Mathematics,2018,April,,Arxiv
Steve,male,99,80009,Mathematics,2018,April,,Arxiv
Richard,male,99,97659,Mathematics,2018,April,,Arxiv
Ali,male,94,240857,Mathematics,2018,April,,Arxiv
Tim,male,99,52554,Mathematics,2018,April,,Arxiv
Emmanuel,male,99,43639,Mathematics,2018,April,,Arxiv
Shirsho,male,100,5,Mathematics,2018,April,,Arxiv
Habib,male,98,10287,Mathematics,2018,April,,Arxiv
Kasemsak,male,100,18,Mathematics,2018,April,,Arxiv
