Name,Sex,Accuracy,Samples,Topic,Year,Month,Covid,Server
K.,male,61,1007,Mathematics,2018,April,,Arxiv
Reimundo,male,100,10,Mathematics,2018,April,,Arxiv
David,male,99,381770,Mathematics,2018,April,,Arxiv
Aaron,male,99,36714,Mathematics,2018,April,,Arxiv
Tianchen,male,100,10,Mathematics,2018,April,,Arxiv
Ilya,male,97,3968,Mathematics,2018,April,,Arxiv
Peter,male,99,146529,Mathematics,2018,April,,Arxiv
Mathieu,male,99,28292,Mathematics,2018,April,,Arxiv
Julio,male,96,31126,Mathematics,2018,April,,Arxiv
George,male,99,63411,Mathematics,2018,April,,Arxiv
Nicolás,male,100,2230,Mathematics,2018,April,,Arxiv
Marshall,male,98,2759,Mathematics,2018,April,,Arxiv
Melanie,female,98,35986,Mathematics,2018,April,,Arxiv
Steven,male,99,59951,Mathematics,2018,April,,Arxiv
Diana,female,98,59982,Mathematics,2018,April,,Arxiv
Pin,male,54,819,Mathematics,2018,April,,Arxiv
Takashi,male,99,1807,Mathematics,2018,April,,Arxiv
Sergey,male,100,16316,Mathematics,2018,April,,Arxiv
,,,,Mathematics,2018,April,,Arxiv
David,male,99,381770,Mathematics,2018,April,,Arxiv
Yu,male,63,3415,Mathematics,2018,April,,Arxiv
Gilad,male,100,254,Mathematics,2018,April,,Arxiv
Yunmin,male,57,7,Mathematics,2018,April,,Arxiv
Ozgur,male,96,3440,Mathematics,2018,April,,Arxiv
Yanli,female,81,54,Mathematics,2018,April,,Arxiv
Reinhard,male,99,1973,Mathematics,2018,April,,Arxiv
Alexander,male,99,56237,Mathematics,2018,April,,Arxiv
Sheng-Chi,male,100,3,Mathematics,2018,April,,Arxiv
Tetsuya,male,98,570,Mathematics,2018,April,,Arxiv
Alexander,male,99,56237,Mathematics,2018,April,,Arxiv
Massimo,male,99,41321,Mathematics,2018,April,,Arxiv
Lindon,male,94,104,Mathematics,2018,April,,Arxiv
D.,male,73,1059,Mathematics,2018,April,,Arxiv
Dawei,male,95,164,Mathematics,2018,April,,Arxiv
Masashi,male,100,493,Mathematics,2018,April,,Arxiv
Nathan,male,99,29365,Mathematics,2018,April,,Arxiv
Xiaohu,male,100,37,Mathematics,2018,April,,Arxiv
Pascal,male,98,53481,Mathematics,2018,April,,Arxiv
N.,male,59,555,Mathematics,2018,April,,Arxiv
Paul,male,99,140849,Mathematics,2018,April,,Arxiv
Eleftherios,male,100,88,Mathematics,2018,April,,Arxiv
Przemys?aw,male,100,4556,Mathematics,2018,April,,Arxiv
Hung,male,96,4894,Mathematics,2018,April,,Arxiv
Asghar,male,99,1067,Mathematics,2018,April,,Arxiv
Stéphane,male,98,16675,Mathematics,2018,April,,Arxiv
Krzysztof,male,100,28969,Mathematics,2018,April,,Arxiv
Emerson,male,99,7199,Mathematics,2018,April,,Arxiv
Merouane,male,97,715,Mathematics,2018,April,,Arxiv
Wei,male,73,4003,Mathematics,2018,April,,Arxiv
Horst,male,98,4102,Mathematics,2018,April,,Arxiv
Mahdi,male,98,11108,Mathematics,2018,April,,Arxiv
Enrique,male,99,19657,Mathematics,2018,April,,Arxiv
Yunyi,unknown,50,12,Mathematics,2018,April,,Arxiv
Runlin,female,75,4,Mathematics,2018,April,,Arxiv
David,male,99,381770,Mathematics,2018,April,,Arxiv
Vladimir,male,99,21639,Mathematics,2018,April,,Arxiv
Siyuan,male,71,85,Mathematics,2018,April,,Arxiv
,,,,Mathematics,2018,April,,Arxiv
Alastair,male,99,1005,Mathematics,2018,April,,Arxiv
