Name,Sex,Accuracy,Samples,Topic,Year,Month,Covid,Server
Rei,male,61,985,Animal Bio,2017,January,,Biorxiv
Felipe,male,99,29541,Animal Bio,2017,January,,Biorxiv
Luke,male,99,21252,Animal Bio,2017,January,,Biorxiv
Natalie,female,98,22431,Animal Bio,2017,January,,Biorxiv
Serafino,male,99,515,Animal Bio,2017,January,,Biorxiv
Inder,male,96,890,Animal Bio,2017,January,,Biorxiv
Stefano,male,99,56062,Animal Bio,2017,January,,Biorxiv
Elliot,male,100,9939,Animal Bio,2017,January,,Biorxiv
Robert,male,99,145540,Animal Bio,2017,January,,Biorxiv
Neil,male,99,16868,Animal Bio,2017,January,,Biorxiv
Nandini,female,97,1225,Animal Bio,2017,January,,Biorxiv
Ajay,male,100,20729,Animal Bio,2017,January,,Biorxiv
Sebastien,male,98,35769,Animal Bio,2017,January,,Biorxiv
Omar,male,98,63048,Animal Bio,2018,January,,Biorxiv
Tengfei,male,95,38,Animal Bio,2018,January,,Biorxiv
Robert,male,99,145540,Animal Bio,2018,January,,Biorxiv
Caitlin,female,99,5889,Animal Bio,2018,January,,Biorxiv
Lucie,female,98,42905,Animal Bio,2018,January,,Biorxiv
Maite,female,98,5724,Animal Bio,2018,January,,Biorxiv
Sarah,female,98,127402,Animal Bio,2018,January,,Biorxiv
Ebi,male,84,1167,Animal Bio,2018,January,,Biorxiv
Eliza,female,99,10976,Animal Bio,2018,January,,Biorxiv
Pavel,male,98,48181,Animal Bio,2018,January,,Biorxiv
Ashley,female,84,40088,Animal Bio,2018,January,,Biorxiv
Stephen,male,99,46085,Animal Bio,2018,January,,Biorxiv
Diego,male,99,67382,Animal Bio,2018,January,,Biorxiv
Charles,male,98,52754,Animal Bio,2018,January,,Biorxiv
Rafael,male,99,52197,Animal Bio,2018,January,,Biorxiv
Kathryne,female,99,94,Animal Bio,2018,January,,Biorxiv
Michal,male,97,44099,Animal Bio,2018,January,,Biorxiv
Jennifer,female,98,88317,Animal Bio,2019,January,,Biorxiv
Matthew,male,100,51412,Animal Bio,2019,January,,Biorxiv
Ryley,male,73,120,Animal Bio,2019,January,,Biorxiv
Wondwossen,male,100,49,Animal Bio,2019,January,,Biorxiv
Ido,male,92,794,Animal Bio,2019,January,,Biorxiv
Eric,male,99,121922,Animal Bio,2019,January,,Biorxiv
