Name,Sex,Accuracy,Samples,Topic,Year,Month,Covid,Server
Felipe,male,99,29541,Animal Bio,2017,January,,Biorxiv
Lesley,female,87,5457,Animal Bio,2017,January,,Biorxiv
Herbert,male,99,9602,Animal Bio,2017,January,,Biorxiv
Francesco,male,99,74458,Animal Bio,2017,January,,Biorxiv
Marc,male,99,77461,Animal Bio,2017,January,,Biorxiv
Sarah-Jayne,female,100,57,Animal Bio,2017,January,,Biorxiv
Richard,male,99,97659,Animal Bio,2017,January,,Biorxiv
Andrzej,male,99,22799,Animal Bio,2017,January,,Biorxiv
Mazrul,male,100,16,Animal Bio,2017,January,,Biorxiv
T.,male,69,788,Animal Bio,2017,January,,Biorxiv
Suresh,male,100,15885,Animal Bio,2017,January,,Biorxiv
Peter,male,99,146529,Animal Bio,2017,January,,Biorxiv
Fabián,male,100,740,Animal Bio,2018,January,,Biorxiv
Hao,male,84,2105,Animal Bio,2018,January,,Biorxiv
Jonathan,male,99,84386,Animal Bio,2018,January,,Biorxiv
Hopi,male,87,30,Animal Bio,2018,January,,Biorxiv
Nadia,female,98,44698,Animal Bio,2018,January,,Biorxiv
Luis,male,99,120090,Animal Bio,2018,January,,Biorxiv
Julia,female,97,57688,Animal Bio,2018,January,,Biorxiv
Axel,male,98,15264,Animal Bio,2018,January,,Biorxiv
Mark,male,100,48064,Animal Bio,2018,January,,Biorxiv
Shigeyoshi,male,100,20,Animal Bio,2018,January,,Biorxiv
Jeffrey,male,100,19324,Animal Bio,2018,January,,Biorxiv
Stephen,male,99,46085,Animal Bio,2018,January,,Biorxiv
Guillermo,male,99,14216,Animal Bio,2018,January,,Biorxiv
Carlos,male,99,174998,Animal Bio,2018,January,,Biorxiv
Thomas,male,99,129177,Animal Bio,2018,January,,Biorxiv
Harriet,female,96,2000,Animal Bio,2018,January,,Biorxiv
Michal,male,97,44099,Animal Bio,2018,January,,Biorxiv
Gary,male,99,34244,Animal Bio,2019,January,,Biorxiv
Ryan,male,99,64450,Animal Bio,2019,January,,Biorxiv
Anne,female,98,48855,Animal Bio,2019,January,,Biorxiv
Wondwossen,male,100,49,Animal Bio,2019,January,,Biorxiv
Adi,male,92,13011,Animal Bio,2019,January,,Biorxiv
Jonathan,male,99,84386,Animal Bio,2019,January,,Biorxiv
Alan,male,99,44635,Animal Bio,2019,January,,Biorxiv
Joseph,male,99,63161,Animal Bio,2019,January,,Biorxiv
Anne,female,98,48855,Animal Bio,2019,January,,Biorxiv
Arturo,male,99,13886,Animal Bio,2019,January,,Biorxiv
Ronald,male,99,20480,Animal Bio,2019,January,,Biorxiv
Koel,female,89,37,Animal Bio,2019,January,,Biorxiv
Mrinalini,female,99,143,Animal Bio,2019,January,,Biorxiv
,,,,Animal Bio,2019,January,,Biorxiv
Nathaniel,male,99,4766,Animal Bio,2019,January,,Biorxiv
Ana,female,97,141747,Animal Bio,2019,January,,Biorxiv
Gary,male,99,34244,Animal Bio,2019,January,,Biorxiv
Oliver,male,98,22853,Animal Bio,2019,January,,Biorxiv
York,male,93,359,Animal Bio,2019,January,,Biorxiv
Esteban,male,99,16614,Animal Bio,2019,January,,Biorxiv
Gary,male,99,34244,Animal Bio,2019,January,,Biorxiv
Andrius,male,99,1231,Animal Bio,2019,January,,Biorxiv
David,male,99,381770,Animal Bio,2019,January,,Biorxiv
Scott,male,100,48262,Animal Bio,2019,January,,Biorxiv
Francesco,male,99,74458,Animal Bio,2019,January,,Biorxiv
Regina,female,98,16439,Animal Bio,2019,January,,Biorxiv
Guoshu,male,75,4,Animal Bio,2019,January,,Biorxiv
John,male,99,219085,Animal Bio,2019,January,,Biorxiv
Holger,male,99,4992,Animal Bio,2019,January,,Biorxiv
James,male,99,131879,Animal Bio,2019,January,,Biorxiv
Carl,male,98,18194,Animal Bio,2020,January,,Biorxiv
Ana,female,97,141747,Animal Bio,2020,January,,Biorxiv
Sidarta,male,95,39,Animal Bio,2020,January,,Biorxiv
Gil,male,91,6454,Animal Bio,2020,January,,Biorxiv
Ignasi,male,98,477,Animal Bio,2020,January,,Biorxiv
Fabian,male,99,25659,Animal Bio,2020,January,,Biorxiv
Timothy,male,99,15778,Animal Bio,2020,January,,Biorxiv
Simon,male,98,57458,Animal Bio,2020,January,,Biorxiv
Elliot,male,100,9939,Animal Bio,2020,January,,Biorxiv
Brenda,female,98,22551,Animal Bio,2020,January,,Biorxiv
Taraz,male,91,11,Animal Bio,2020,January,,Biorxiv
Johannes,male,99,7870,Animal Bio,2020,January,,Biorxiv
Philip,male,99,21773,Animal Bio,2020,January,,Biorxiv
Ralf,male,99,9994,Animal Bio,2020,January,,Biorxiv
P.,male,71,747,Animal Bio,2020,January,,Biorxiv
Geoffrey,male,99,11232,Animal Bio,2020,January,,Biorxiv
Alain,male,98,53597,Animal Bio,2020,January,,Biorxiv
Genki,male,94,158,Animal Bio,2020,January,,Biorxiv
S.,male,64,1577,Animal Bio,2020,January,,Biorxiv
Martin,male,98,139211,Animal Bio,2020,January,,Biorxiv
Samuel,male,99,59149,Animal Bio,2020,January,,Biorxiv
Xue,female,74,494,Animal Bio,2020,January,,Biorxiv
Anuradha,female,86,1570,Animal Bio,2020,January,,Biorxiv
Richard,male,99,97659,Animal Bio,2020,January,,Biorxiv
Robert,male,99,145540,Animal Bio,2020,January,,Biorxiv
N.,male,59,555,Animal Bio,2020,January,,Biorxiv
Ronald,male,99,20480,Animal Bio,2020,January,,Biorxiv
Wei,male,73,4003,Animal Bio,2020,January,,Biorxiv
Mark,male,100,48064,Animal Bio,2020,January,,Biorxiv
Marcus,male,99,25073,Animal Bio,2020,January,,Biorxiv
Pawel,male,99,11413,Animal Bio,2020,January,,Biorxiv
H.,male,73,623,Animal Bio,2020,January,,Biorxiv
Aaron,male,99,36714,Animal Bio,2020,January,,Biorxiv
J.,male,82,2236,Animal Bio,2020,January,,Biorxiv
Joanna,female,98,34331,Animal Bio,2020,January,,Biorxiv
Kevin,male,99,140160,Animal Bio,2020,January,,Biorxiv
Armin,male,98,5364,Animal Bio,2020,January,,Biorxiv
Dora,female,97,10347,Animal Bio,2020,January,,Biorxiv
Mateusz,male,100,24887,Animal Bio,2020,January,,Biorxiv
Alex,male,92,247706,Animal Bio,2020,January,,Biorxiv
Jan,male,92,104026,Animal Bio,2020,January,,Biorxiv
Wei,male,73,4003,Animal Bio,2020,January,,Biorxiv
Björn,male,99,6460,Animal Bio,2017,April,,Biorxiv
Andrea,female,54,161059,Animal Bio,2017,April,,Biorxiv
Mehrdad,male,99,3204,Animal Bio,2017,April,,Biorxiv
Radim,male,98,4071,Animal Bio,2017,April,,Biorxiv
Rajnikant,male,99,277,Animal Bio,2017,April,,Biorxiv
Hans,male,97,28935,Animal Bio,2017,April,,Biorxiv
Michael,male,99,211741,Animal Bio,2017,April,,Biorxiv
Karl,male,98,18575,Animal Bio,2017,April,,Biorxiv
Melisa,female,98,10404,Animal Bio,2017,April,,Biorxiv
